id, title, magnitude, region, date, location, deep, distance_text, observations, in_charge, references
1, 3.6M - Prov. Saucarí; Oruro., 3.6 M, Prov. Saucarí; Oruro., 2011-08-07 07:16:00 (Hora local), -18.62 ; -67.24, Intermedia km, 22 Km al Sudeste de la Población de Challa Cruz. 25 Km al Sudoeste de la Población de Choro. 67 km al Sudoeste de la ciudad de Oruro., No existen reportes de da, Guido Avila Q., 
2, M -, M, , (Hora local), ;, km, , , , 
3, 4M - Prov. Daniel Campos; Potosí, 4 M, Prov. Daniel Campos; Potosí, 2011-08-11 18:59:00 (Hora local), -20.01 ; -68.43, Intermedia km, 17 Km al Noroeste de la Población de Canquella. 27 Km al Sudoeste de la Población de Llica. 280 km al Sudoeste de la ciudad de Potosí., No existen reportes de da, Teddy Griffiths J., 
4, M -, M, , (Hora local), ;, km, , , , 
5, M -, M, , (Hora local), ;, km, , , , 
6, M -, M, , (Hora local), ;, km, , , , 
7, M -, M, , (Hora local), ;, km, , , , 
8, M -, M, , (Hora local), ;, km, , , , 
9, M -, M, , (Hora local), ;, km, , , , 
10, 3.8M - Prov. Ñuflo de Chavez; Santa Cruz., 3.8 M, Prov. Ñuflo de Chavez; Santa Cruz., 2011-08-20 14:32:00 (Hora local), -15.12 ; -62.57, Superficial km, 13 Km al Noroeste de la Población de Puerto Alegre. 22 Km al Noroeste de la Población de Tornito. 300 km al Noreste de la ciudad de Santa Cruz de la Sierra., No existen reportes de da, Mario Zabala Z., 
